review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
848aa9ff0696feb3e306a81122d50b0e,577dbf4b3668adb656ec29c2ce049ab1,4,,,2018-02-16 00:00:00,2018-02-16 23:42:20
d3aeeef80f2f1aba4184aaa4b8256731,3c21823fb08a6a2ff770877efffb1c1a,1,,Me senti decepcionada  pois recebi o produto com os p s de cor diferente que n o combina com nada no ambiente   vendido o produto de uma cor e recebido produto diferente N o recomendo ,2018-02-19 00:00:00,2018-02-19 19:07:46
f826b91ab3ed21e29b5cf4576ad41aca,4b8267d1f715adb8eb69ac677662c100,5,,,2018-05-18 00:00:00,2018-05-21 10:55:31
9ecb5b5cd4f100ceb5dfb059405cd76c,67bc7ad5678269583e9bb44b18c5083b,4,,estou usando o produto  por tanto somente futuramente poderei avaliar o mesmo e certificar se   bom ou ruim  quando fizer efeito  pois trata se de um suplemento para memoria,2018-03-06 00:00:00,2018-03-14 00:38:01
bad89ab166a2a98c91fbc1e42bd54648,3b4b5ec89dc09c7aedc74199be65fef7,1,,N o cumpre o que anuncia  N o entregou o produto  Quero meu dinheiro de volta  Desonestidade ,2017-11-23 00:00:00,2017-11-23 07:27:17
671d29ac396babcee5169f9d929feaff,88a82da4cb2eb4723c9965285fe826c9,4,,,2018-08-21 00:00:00,2018-08-21 21:38:48
7fafe5941e6b5490d13b24ea2707eb25,bd086ca155971e41011456e63e94f36e,5,,,2018-06-20 00:00:00,2018-06-23 09:39:51
0733bb0c1edb87d11f9e55f9117bd58a,4b7f3bc13a8180b1cb4de82745278846,5,,,2017-12-31 00:00:00,2018-01-01 04:28:05
4356095f6085d92818c30192adbe2af3,6bf0953ea2856ef95e31030263eacc2e,4,,,2017-02-18 00:00:00,2017-02-20 16:32:55
f02d4978f58368f3346d8450d52f0ba2,f3c5d914eec90079a826c2b5ea7fe6bc,1,,Pessimo muita demora na entrega,2018-02-21 00:00:00,2018-02-21 18:13:50
57ee243407bd843fff0bed9391aef466,a0b93e564f7ce12ef5c0768f38aed1ba,5,,,2017-12-12 00:00:00,2017-12-14 17:39:24
ed669ac369df19e801d7e68e59de99ef,32a36b92faf67aebedb4eea534a49c4b,4,,,2017-09-05 00:00:00,2017-09-05 19:31:37
020e75383c224757492c403be52ef229,5bb5e53b117f231e116d1ff1f530c8ce,5,Chegou antes do tempo ,Produto bem embalado  Chegou antes do prazo  Fiquei muito satisfeita como sempre  ,2018-04-28 00:00:00,2018-04-29 18:21:06
e208d3834caab4fc7bfe391880808cd5,2d57932a94a64e0729ec5b88b4860d0d,5,recomendo,otimo vendedor  recomendo ,2018-04-26 00:00:00,2018-05-02 14:53:41
8829c6b10e1e7e294c3ea34ae56825c5,ec089ea63c9167d2ee9a19ab32d22062,4,,,2018-08-14 00:00:00,2018-08-15 10:06:13
a491b1aadbf0d30c334ff822927d76cc,448c60334e2a53a5c678e4bd6b1e77a7,5,,Produto chegou antes do prazo  e a empresa fornecedora   extremamente atenciosa ,2017-12-19 00:00:00,2017-12-22 00:44:01
ddb39fba95b961848c77b8f9ce6f5902,233d68955f53ddc70fdd403f7032c093,5,,Produto chegou r pido e foi exatamente da forma que eu imagina  Eu recomendo ,2017-05-30 00:00:00,2017-05-30 22:48:59
9d7b273bb5d425f3a8926eac051073a1,d6b1ddf39835687468c4477c1aa9cba0,2,,,2017-04-19 00:00:00,2017-04-21 23:18:00
7fb7cc2d24ad3f6d5bd621a748f5562a,5fab32eda80bc8ab834f55e18bdc1b8c,5,,,2017-09-14 00:00:00,2017-09-15 12:08:54
57578f18ec884c17e2b9391c17f08d69,d883754340c635b6b1946e3db8b33ceb,3,,,2018-04-26 00:00:00,2018-04-30 01:38:45
223f244c6e8377911ba2d488ddd8af9c,2445655afeb72bdf84bd0d86682c9ef0,5,,Mto bom pr  l gica  excelente qualidsde,2018-03-17 00:00:00,2018-03-17 21:02:49
8547da6575069d755eea95f388c6f7b8,b2a791af09fe22457639f9c0f7bdb1cf,3,,,2018-02-02 00:00:00,2018-02-23 00:48:46
7d7f05d4d9e59dbba57637d7cc5eb0a8,e4a03aa31a44aef0f584dff623119c72,5,,,2018-08-24 00:00:00,2018-08-27 10:19:38
6866afd9acf83ac7fdf1642d0ac06e13,c4b7a58ef60f4839159cd08137d4a18d,3,,,2017-08-09 00:00:00,2017-08-14 12:38:44
6e54aa64352f23a6df7d995f2b59bf79,09aea357bd7fde763e2358cc9e413513,5,,barato e r pido ,2017-04-08 00:00:00,2017-04-12 00:07:57
