3092c0b297aacfb4bb6e056ebe13b9b8,7402,aruja,SP
c004e5ea15737026cecaee0447e00b75,2035,sao paulo,SP
8629a7efec1aab257e58cda559f03ba7,74223,goiania,GO
1c56ffe0e9dea2657fc6e95b53f40b13,13575,sao carlos,SP
74a9b9bddf14ece02beb81f52c41a88d,1156,sao paulo,SP
1cbd32d00d01bb8087a5eb088612fd9c,3363,sp / sp,SP
850857dfac77488c307e2b1cbd84ab5a,85802,cascavel,PR
e0a366315b1b726b6c7832d664c0f530,2258,sao paulo,SP
4049512728d969bec69f84088b012416,30310,belo horizonte,MG
120476eb7a04c149d14772edaf5d9bf2,23954,angra dos reis,RJ
cd6efc47efaabf134f8bdb654e10b4f1,23050,rio de janeiro,RJ
2a7c6c0b0d5efde2bf75ec1e1cec2d41,87015,maringa,PR
4e17c65a516f69d023a2ae78b84f28d6,8673,suzano,SP
a8739afb32aaa45e01815ca76f76f54b,9850,sao bernardo do campo,SP
d4828feed4cda2cd9d6b37899a95a71e,63020,juzeiro do norte,CE
e3d3b3efac954a60d61be70b7e05b49b,3370,sao paulo,SP
d558ebe531605a1285ab2b1bc3256dfb,35501,divinopolis,MG
c7a0a13cbcf29d5ce51c8f80afdc0b89,89170,laurentino,SC
33ac3e28642ab8bda860a2f693000e78,6717,cotia,SP
8936ba0de1073ee888cb3185ae5dc661,3372,sao paulo,SP
18a349e75d307f4b4cc646a691ed4216,1319,sao paulo,SP
a72c2f59332659e361d647515c698798,95270,flores da cunha,RS
b55638ad525e906c698fa2ce742c1742,88780,imbituba,SC
be9a160a9011f627c3e121d076c1ec7b,89256,jaragua do sul,SC
ed859002ad59dbf8cf3602696a6c3000,86035,londrina,PR
12b9676b00f60f3b700e83af21824c0e,95780,montenegro,RS
ef2fbc2b607d8492bcffe657a4645434,20051,rio de janeiro,RJ
a080fc8a850289b27500f6b49cca2553,3382,sao paulo,SP
9c57bc60cfad5ee62d35d3f1ce4593a1,81200,curitiba,PR
9539213aa8e023c01937bef95dc006da,3673,sao paulo,SP
69a43819c758c65a5befb0b471c954d7,86802,apucarana,PR
8fdca8e349553f99bc738833a62c8802,2189,sao paulo,SP
0bb27263628258b8111a0262769fa9db,3077,sao paulo,SP
08061dc0fc165ed41288cc7acde738ee,6036,osasco,SP
4ebdc7e6cd6102a022dadc49156d4ea8,5030,sao paulo,SP
f918546be4bec7104d117789ba758b2b,5634,sao paulo,SP
eb4a59a06b3948e851a7d7a830bcbc42,41820,salvador,BA
80146bc52c4f6af5239b23de2a20262b,6753,taboao da serra,SP
4091f77d8c768fc3e81c20761471761d,3059,sao paulo,SP
0dfbed20065e425d2eaefb101f9816c0,13660,porto ferreira,SP
26bad72add1f86e08a776ce4ffdaf1ca,14470,pedregulho,SP
e174dc2de86d60fee178170a154c05e7,9210,santo andre,SP
612170e34b97004b3ba37eae81836b4c,93542,novo hamburgo,RS
2a84855fd20af891be03bc5924d2b453,30111,belo horizonte,MG
cf2384dd2f1dddea3f838efed0945e65,13930,serra negra,SP
