ff4f5b008c32f80c3f952b2b56a28e04,brinquedos,43,640,2,1600,38,26,40
67810bda0db346d0eee1ac3c6314af35,cama_mesa_banho,55,476,2,1650,48,8,39
1c2862e8f831c73dd953c24b3fd5b9e2,moveis_decoracao,60,120,1,600,18,30,15
b3132d56d4953f40e977e0534603e148,esporte_lazer,57,787,1,3100,30,42,20
1b58ea6b563c9841db97e6923d18cc69,bebes,38,1207,2,7550,42,25,15
9095a5b548eb913258279d5aea381643,cama_mesa_banho,52,634,4,1150,40,30,20
59c2f10b8a2fb03ed30afa9bb77c9b9f,livros_importados,57,391,1,750,30,2,20
f4f8823fb84272f90fd1311532effb71,eletroportateis,44,196,2,150,16,12,16
ede30543a08093f6211aae6c721fddc3,utilidades_domesticas,56,805,1,350,22,10,16
56cd306d7a869c029cd2f165e4dc928e,automotivo,58,341,3,150,24,2,17
4bc35700c98f8213fe67fa61ebf4c811,fashion_bolsas_e_acessorios,50,554,3,600,16,5,11
e6aa64e6ca59df52c7bd02829516f6e4,esporte_lazer,58,2243,1,1400,20,30,20
c1af2dbb7ddaa89a57094a6fde7578bf,beleza_saude,58,619,1,900,36,51,15
0b7fb806fe0194cc7eb473329c680e34,,,,,1000,28,11,28
ee9d3ff88f7800b3144967778bb000de,cama_mesa_banho,59,765,1,1150,25,17,35
761989673935a5d17b8ea130576beb2a,livros_tecnicos,55,3854,1,400,26,2,19
a2151451d8c68ef83187a295422a8334,moveis_decoracao,59,1749,4,950,65,3,45
02f875bbe513c98bf25188a84b42dd39,moveis_decoracao,29,206,4,500,19,12,12
d67c3a409aba425d0b60555276bbefd5,cama_mesa_banho,56,382,1,300,16,10,16
4228948b18fa440eee77ce59e7051853,telefonia,55,712,2,200,20,20,20
541e61e8b040cedf91222bb991955748,relogios_presentes,48,111,1,316,17,11,12
21f3c02a56cb1c530fd3c87a858c562b,relogios_presentes,54,631,2,260,17,12,12
21a53da27d4b830f32f475a09f0bd54a,cama_mesa_banho,57,247,1,1500,45,15,35
63bff8e34e5c639696856394be9a9ac1,papelaria,45,209,1,800,16,48,33
5e544127b9716110dc0cf017218896c2,beleza_saude,50,1953,1,2000,28,19,21
ce5a5a85a0704113bd7fd75b3fbaed71,cama_mesa_banho,30,115,1,733,19,12,18
9fe172fa8e662ca8572cf12abf8bce23,fashion_bolsas_e_acessorios,36,412,5,150,16,5,20
f100f4ee5e2b55d163a3f7c300c24d26,beleza_saude,47,483,1,417,20,9,13
a412e6de2f924b291fcd8911e0f25eae,brinquedos,20,345,1,760,30,28,21
7e4453fdebc830f4198332526054960f,moveis_decoracao,43,1981,3,6600,70,4,55
3d514fecadf6cef40a2a32a3c20cd1c8,brinquedos,46,1533,6,350,25,16,16
0383c4d17410e421f6a8b905fb9adcbc,ferramentas_jardim,53,1254,2,2700,43,15,15
f288cae3916218ec01f708d093b29d4f,ferramentas_jardim,59,557,5,150,20,5,15
188726239018149882525f46706b9bd7,relogios_presentes,50,639,1,6213,22,14,16
1c7bf92052619cc8b84907741fd0cedb,esporte_lazer,45,691,1,185,18,15,15
44d53f1240d6332232e4393c06500475,,,,,200,16,12,11
2fb9e46750ac55362f7b642f12b5835b,informatica_acessorios,28,804,2,100,16,6,11
91fd85f0ce4e46aba09a5777469f4127,,,,,250,22,14,14
8734d9a13b93f1f8addd0be7c53b6928,dvds_blu_ray,38,674,1,1000,20,16,14
fd3449bd706d46a7196d18bbd38b32f4,eletrodomesticos_2,60,410,1,640,22,24,21
c664fefd1535d526b427ea18dab22bd3,utilidades_domesticas,54,481,2,650,25,16,17
635c4d1abbc47f87a51cec367caeccdf,fashion_bolsas_e_acessorios,52,566,1,100,22,2,19
0c61745b90fbcbd2a7ac7d3cccde8776,beleza_saude,50,140,1,600,20,6,20
04be6baed9b1c67197a4b2dd2f5b637c,moveis_decoracao,59,468,1,1500,30,5,20
c63ea4621680c1b0fca8864c0564bd78,informatica_acessorios,57,918,1,625,25,8,23
70ad1cce006c26381f72387a1cdb2bf6,informatica_acessorios,45,2495,1,2700,16,45,20
8d117b157de0b1a41b75de2833fd4f6e,consoles_games,55,1683,1,625,21,13,13
4ba4b0ac2133ce048ceedc2355bec253,moveis_sala,52,848,2,10550,60,15,45
6abe34a6ed575743a8803dd6dd7ee5cd,moveis_decoracao,52,1802,2,1100,65,11,20
fd7d446e2582c5bbc8be63f9179e98ac,pet_shop,45,414,1,150,23,23,23
92b82f3b6d4670bba0ae207094f1d226,moveis_decoracao,45,96,2,10100,60,10,40
abe90b94fe9bb697a9f2bd7e25029c2f,audio,44,885,1,1360,28,21,24
8a26f391ab8b209f67d87dd358f6f004,,,,,2200,24,28,24
dd231637766e756fd1cf2fd80501fce1,fashion_roupa_masculina,57,222,1,750,30,10,28
21c080d8ac76a1d2b095d6353864a24f,moveis_decoracao,55,884,1,20550,65,25,25
72d3bf1d3a790f8874096fcf860e3eff,brinquedos,57,341,2,583,20,21,20
e9ceb9123d3103b7ad293c168dd3a547,cama_mesa_banho,46,333,1,6410,50,26,44
871760e304a33f81d67fc135d2c437ac,cama_mesa_banho,58,2473,2,1950,43,8,33
ae8075d523c78e51b70c30ec84497683,esporte_lazer,51,1589,7,500,23,4,13
7983db6d188350c1bd47183bb7fb0049,moveis_decoracao,47,523,4,7400,40,38,40
724108b75f8ef4c9984daac0dcadc482,esporte_lazer,56,422,1,125,15,9,16
fcf8767deaa2d325a3150d5bcb8acbea,beleza_saude,43,812,1,350,19,12,13
b516bcd976124fe39effaa262a2d295c,informatica_acessorios,44,648,3,217,35,7,29
8820ae0ed6d06aa20f6ff430acb8651d,bebes,59,2270,2,450,69,11,11
bc072f287b475a918c00b3478d1bcef9,automotivo,55,3479,4,2500,21,18,16
027e1564c58eb02f39089b2b1f28d5e0,fashion_calcados,57,404,4,1400,22,12,33
b10d71016458b5278240f4ff330f5d3a,eletrodomesticos,59,161,1,150,18,8,13
97b3b8e8ed22d0ceb3b3c520e806a334,eletronicos,40,395,1,200,22,14,17
